ASIN,Title,Subtitles,Language,Release year,Release date,Rated,Run time,Description,Contributors,Actors,Directors,Producers,Media Format,Genres,Customer Reviews,IMDb,Number of discs,Studio
B003AI2VGA,The Virgin of Juarez,,English,2006,,R,1 h 24 min,,,,Kevin Dobson,"Kevin James Dobson,George 'Skip' Henfling,Steve Henry,Rosemary Marks,Dennis Sugasawara,Harriet Zaretsky",,Drama,,4.6,,First Look Entertainment
B0078V2LCY,My Kingdom (English Subtitled),,,2011,,13+,1 h 39 min,,,,Xiaosong Gao,"Ross Alan Pollack,Zoe Chen,Andre Morgan,Sammo Hung",,"Drama,Action,Romance",,5.2,,China Lion
B003ZG3GAM,Reaper,,English Dialogue Boost: Medium,2008,,7+,,,,,Stephen Cragg,,,"Drama,Adventure,Comedy,Fantasy",,7.7,,ABC Studios
B006JIUN2W,Phonics Volume 1,,English,2017,,ALL,1 h 6 min,,,,Brad Caudle,Richard Caudle,,"Kids,Special Interest",,,,Rock 'N Learn
B000WI23KA,The Eyes of Van Gogh,,English,2005,,NR,1 h 54 min,,,,Alexander Barnett,"Ashley March,Marcia Mohuiddin",,"Arthouse,Drama,Historical",,6.3,,Unavailable
B00004CQT4,Who's the Man? [VHS],,English,,,R,1 hour and 25 minutes,,"Charles Stettler, Grace Blake, Ed Lover, Ice-T, Rozwill Young, Bernie Mac, Jim Moody, Bowlegged Lou, Colin Quinn, Seth Greenland, Todd 1, Doctor Dré, Andre B. Blake, Cheryl 'Salt' James, Badja Djola, Ted Demme, Janet Grillo, Adam Kimmel","Ed Lover, Doctor Dré, Badja Djola, Cheryl 'Salt' James, Jim Moody",,,,,,5.3,,
B00004CQT3,Far from Home: The Adventures of Yellow Dog [VHS],,English,,,Unrated,,5013738873056,,,,,VHS,Drama,,6.3,1,
B007NF02Q2,Keyholes are For Peeping,,,2011,,18+,1 h 15 min,,,,Doris Wishman,Juri,,"Comedy,Drama",,3.6,,Desert Island Films
B00006HAXW,Rock Rhythm and Doo Wop:Greatest Song,,English,,"November 12, 2002",NR,2 hours and 8 minutes,"Rock Rhythm & Doo Wop: The Greatest Songs From Early Rock N Roll album for sale was released Dec 10, 2001 on the P-VINE label. Rock Rhythm & Doo Wop: The Greatest Songs From Early Rock N Roll CD music contains a single disc.",,Various,,,"Black & White, NTSC",Music Videos & Concerts,,,,Rhino Home Video
B002OHDRF2,,,,,,,,,,,,,,,,,,
B000NDFLWG,IN DEBT WE TRUST,,,,"April 24, 2007",NR,,"Journalist Danny Schechter investigates America's mounting debt crisis in his latest hard-hitting expose. The film reveals a hitherto unknown cabal of credit card companies, lobbyists, media conglomerates, and the Bush administration itself, who have colluded to deregulate the lending industry so a culture of credit dependency can flourish. Bestselling author Robert Manning also appears.",,,,,,,,7.2,1,Disinformation
B000063W1R,The Count of Monte Cristo [Region 2],,English,,,PG,,"Retelling a story that has made it onto the silver screen more than most, this latest adaptation of The Count of Monte Cristo makes yet another swashbuckling attempt to win over a new generation of cinema goers. A dashing James Caviezel takes the role of the Count, who is driven by a desire for revenge after being betrayed by his best friend Fernand (played by a dishevelled Guy Pearce) and landed with 16 years of solitary confinement in Chateau D'If, a damp cavernous prison. Thus the scene is set for a good old-fashioned romp. The trouble with this ""re-imagining"" (to borrow a phrase from Tim Burton's Planet of the Apes) is that it's never quite sure whether to take itself seriously or not. Alexandre Dumas's original story is a traditionally melodramatic tale of deceit and double-crossing, with clear-cut bad guys and a moral lesson to be learned at the end. Here, director Kevin Reynolds appears unsure about whether to stick with tradition or bring the story up to date and turn it into a post-modern play on the old Victorian values and style. When the Count and his heavy-breathing loved one are reunited, their kiss is actually framed as a cameo. Both lead actors are also prone to heavy bouts of overacting, garnishing their performances with exaggerated baroque gestures. Clearly this is a film in which the actors could over-indulge themselves and (almost) get away with it, were it not for the fact that--bar Richard Harris as the ""Priest""--none of them seem to have the faintest idea about how to conduct themselves in a period drama. This Count of Monte Cristo will leave the audience a little confused as to whether they should cry along with the story or laugh along with the actors. --Nikki Disney On the DVD: The Count of Monte Cristo on disc offers no escape from the dry drawl of director Kevin Reynolds, who features in almost every element of the extensive extras package. With a shy studio disclaimer before his commentary, he's got a refreshingly frank attitude to",,,,,,Kids & Family,,7.7,1,
